address,city,price(USD),bds,ba,sqft,state,url
1222 Shafter Ave,SAN FRANCISCO,749000,5,2.5,2745,CA,https://www.zillow.com/homedetails/1222-Shafter-Ave-San-Francisco-CA-94124/15153895_zpid/
32021 Avenida Evita,SAN JUAN CAPISTRANO,599000,3,2,1471,CA,https://www.zillow.com/homedetails/32021-Avenida-Evita-San-Juan-Capistrano-CA-92675/25561203_zpid/
6266 Camino De La Costa,LA JOLLA,18900000,4,8,6338,CA,https://www.zillow.com/homedetails/6266-Camino-De-La-Costa-La-Jolla-CA-92037/16850614_zpid/
14700 Laurel Dr,Riverside,298000,4,2,1800,CA,https://www.zillow.com/homedetails/14700-Laurel-Dr-Riverside-CA-92503/2091929817_zpid/
2361 Cambridge St,SACRAMENTO,195000,3,1,924,CA,https://www.zillow.com/homedetails/2361-Cambridge-St-Sacramento-CA-95815/26089519_zpid/
1091 Laurel Way,BEVERLY HILLS,35000000,8,12,15000,CA,https://www.zillow.com/homedetails/1091-Laurel-Way-Beverly-Hills-CA-90210/20522044_zpid/
33740 Pacific Coast Hwy,MALIBU,48500000,6,8,6785,CA,https://www.zillow.com/homedetails/33740-Pacific-Coast-Hwy-Malibu-CA-90265/20558261_zpid/
17011 Acena Dr,SAN DIEGO,499000,3,2,1395,CA,https://www.zillow.com/homedetails/17011-Acena-Dr-San-Diego-CA-92128/16743289_zpid/
2110 Hercules Dr,LOS ANGELES,8495000,5,5.5,4260,CA,https://www.zillow.com/homedetails/2110-Hercules-Dr-Los-Angeles-CA-90046/20802035_zpid/
24900 Paseo Del Rancho,CALABASAS,11900000,8,7,10387,CA,https://www.zillow.com/homedetails/24900-Paseo-Del-Rancho-Calabasas-CA-91302/20553310_zpid/
11 Montage Way,Laguna Beach,29000000,5,8,9500,CA,https://www.zillow.com/homedetails/11-Montage-Way-Laguna-Beach-CA-92651/61644216_zpid/
3476 Ridgeview Dr,Santa Rosa,799000,4,4,2930,CA,https://www.zillow.com/homedetails/3476-Ridgeview-Dr-Santa-Rosa-CA-95404/15869811_zpid/
21 Neptune Ct,SAN RAMON,675000,3,2,1310,CA,https://www.zillow.com/homedetails/21-Neptune-Ct-San-Ramon-CA-94583/18443895_zpid/
10539 Bellagio Rd,LOS ANGELES,34000000,5,7.5,13361,CA,https://www.zillow.com/homedetails/10539-Bellagio-Rd-Los-Angeles-CA-90077/20526836_zpid/
29825 Corte Faldas,TEMECULA,519000,5,3,2483,CA,https://www.zillow.com/homedetails/29825-Corte-Faldas-Temecula-CA-92591/18170263_zpid/
7125 Breno Pl,RANCHO CUCAMONGA,449000,4,3,2657,CA,https://www.zillow.com/homedetails/7125-Breno-Pl-Rancho-Cucamonga-CA-91701/59198276_zpid/
6057 Scenic Ave,LOS ANGELES,829000,2,2,1370,CA,https://www.zillow.com/homedetails/6057-Scenic-Ave-Los-Angeles-CA-90068/20807196_zpid/
75 Gates St,SAN FRANCISCO,1195000,3,2,775,CA,https://www.zillow.com/homedetails/75-Gates-St-San-Francisco-CA-94110/15161508_zpid/
13158 Leaila Ln,POWAY,599900,3,2,1200,CA,https://www.zillow.com/homedetails/13158-Leaila-Ln-Poway-CA-92064/16829367_zpid/
96 Ridge View Dr,Atherton,24900000,6,7,13849,CA,https://www.zillow.com/homedetails/96-Ridge-View-Dr-Atherton-CA-94027/15597827_zpid/
