title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1010 18th St,Orlando,FL,32805,"$90,000","3 bds , 1 ba , 1,251 sqft",,https://www.zillow.com/homedetails/1010-18th-St-Orlando-FL-32805/46047231_zpid/
House for sale,12331 Shadowbrook Ln,ORLANDO,FL,32828,"$389,900","4 bds , 4 ba , 2,998 sqft",,https://www.zillow.com/homedetails/12331-Shadowbrook-Ln-Orlando-FL-32828/54442537_zpid/
House for sale,9200 Rockybrook Way,Delray Beach,FL,33446,"$20,000,000","7 bds , 12 ba , 26,654 sqft",,https://www.zillow.com/homedetails/9200-Rockybrook-Way-Delray-Beach-FL-33446/103479176_zpid/
House for sale,555 Park St S,SAINT PETERSBURG,FL,33707,"$695,000","4 bds , 3 ba , 2,924 sqft",Coldwell Banker Residential Real Estate - Downtown St. Pete,https://www.zillow.com/homedetails/555-Park-St-S-Saint-Petersburg-FL-33707/47125392_zpid/
House for sale,2211 SW 87th Way,Miramar,FL,33025,"$239,000","3 bds , 3 ba , 1,570 sqft",,https://www.zillow.com/homedetails/2211-SW-87th-Way-Miramar-FL-33025/72184077_zpid/
House for sale,90 Leucadendra Dr,Coral Gables,FL,33156,"$29,900,000","9 bds , 12 ba , 11,609 sqft",ONE Sotheby's International Realty,https://www.zillow.com/homedetails/90-Leucadendra-Dr-Coral-Gables-FL-33156/43920995_zpid/
Foreclosure,674 Dub Rd,Tallahassee,FL,32305,"$167,900","3 bds , 2 ba , 3,043 sqft",,https://www.zillow.com/homedetails/674-Dub-Rd-Tallahassee-FL-32305/45633766_zpid/
House for sale,13031 Shoreside Ct,Fort Myers,FL,33913,"$359,900","4 bds , 3 ba , 2,875 sqft",Premier Sotheby's International Realty,https://www.zillow.com/homedetails/13031-Shoreside-Ct-Fort-Myers-FL-33913/2087424028_zpid/
Auction,21227 NE 51st Ave,Earleton,FL,32631,"$99,000","4 bds , 4 ba , 2,510 sqft",,https://www.zillow.com/homedetails/21227-NE-51st-Ave-Earleton-FL-32631/42742560_zpid/
House for sale,1960 S Ocean Blvd,PALM BEACH,FL,33480,"$56,000,000","8 bds , 11 ba , 24,600 sqft",Sotheby's International Realty - Palm Beach Brokerage,https://www.zillow.com/homedetails/1960-S-Ocean-Blvd-Palm-Beach-FL-33480/46846921_zpid/
